sku_id,category,name,mrp,discountpercent,availablequantity,discountedsellingprice,weightingms,outofstock,quantity
1,Fruits & Vegetables,Onion,25,16,3,21,1000,FALSE,1
2,Fruits & Vegetables,Tomato Hybrid,42,16,3,35,1000,FALSE,1
768,Munchies,Everest Sabji Masala,30,3,6,29,50,FALSE,50
842,Munchies,Popular Essentials Ajwain Whole,50,12,2,44,100,FALSE,100
1272,Beverages,iD Curd Cup,60,0,6,60,400,FALSE,400
1543,Packaged Food,Kellogg's Corn Flakes,425,9,1,383,1000,FALSE,1
2132,Ice Cream & Desserts,Top Ramen Masala,91,9,0,82,560,TRUE,560
2544,"Meats, Fish & Eggs",Arden Eggs White,97,0,4,97,696,FALSE,12
2655,Biscuits,Parle Rusk Elaichi,48,2,6,47,300,FALSE,300
2788,Personal Care,Gillette Sensitive Shaving Foam,225,6,4,210,418,FALSE,418
2988,Personal Care,Johnson's Baby Oil,115,0,4,115,100,FALSE,100
3115,Paan Corner,Livon Anti-Frizz Serum,250,10,3,225,100,FALSE,100
3181,Paan Corner,Godrej Protekt,99,0,3,99,750,FALSE,750
3379,Paan Corner,Set Wet Deodrant Charm Avatar,199,0,1,199,150,FALSE,150
3442,Home & Cleaning,Surf Excel Stain Eraser,18,0,1,18,150,FALSE,150
3568,Home & Cleaning,Om Bhakti Gangajal Packed At Gangotri,30,3,6,29,220,FALSE,220
3,Fruits & Vegetables,Tender Coconut,51,15,3,43,58,FALSE,1
4,Fruits & Vegetables,Coriander Leaves,20,15,3,17,100,FALSE,100
5,Fruits & Vegetables,Ladies Finger ,14,14,3,12,250,FALSE,250
6,Fruits & Vegetables,Potato,35,17,3,29,1000,FALSE,1
7,Fruits & Vegetables,Lemon,75,16,3,63,200,FALSE,200
8,Fruits & Vegetables,Watermelon ,58,15,3,49,58,FALSE,1
9,Fruits & Vegetables,Capsicum Green ,23,17,3,19,250,FALSE,250
10,Fruits & Vegetables,Chilli Green ,19,15,3,16,100,FALSE,100
11,Fruits & Vegetables,Banana Robusta,29,17,3,24,348,FALSE,6
12,Fruits & Vegetables,Garlic Indian ,11,18,3,9,100,FALSE,100
13,Fruits & Vegetables,Cauliflower,26,15,3,22,58,FALSE,1
14,Fruits & Vegetables,Ginger,14,14,3,12,200,FALSE,200
15,Fruits & Vegetables,Spinach,19,15,3,16,250,FALSE,250
16,Fruits & Vegetables,Muskmelon,42,16,3,35,58,FALSE,1
17,Fruits & Vegetables,Cabbage ,15,13,3,13,58,FALSE,1
18,Fruits & Vegetables,Methi,30,16,3,25,250,FALSE,250
19,Fruits & Vegetables,Broccoli,36,16,3,30,500,FALSE,500
20,Fruits & Vegetables,Sapota,30,16,3,25,348,FALSE,6
21,Fruits & Vegetables,Onion,68,16,3,57,3000,FALSE,3
22,Fruits & Vegetables,Potato,100,16,3,84,3000,FALSE,3
23,Fruits & Vegetables,Orange Nagpur,82,15,3,69,232,FALSE,4
24,Fruits & Vegetables,Mint Leaves ,11,18,3,9,100,FALSE,100
25,Fruits & Vegetables,Beans French,33,15,3,28,250,FALSE,250
26,Fruits & Vegetables,Bottle Gourd ,26,15,3,22,58,FALSE,1
27,Fruits & Vegetables,Banana Elaichi ,58,15,3,49,348,FALSE,6
28,Fruits & Vegetables,Coconut Big,36,16,3,30,58,FALSE,1
29,Fruits & Vegetables,Curry Leaves,13,15,3,11,50,FALSE,50
30,Fruits & Vegetables,Brinjal Bharta,19,15,3,16,58,FALSE,1
31,Fruits & Vegetables,Lettuce Iceberg,25,16,3,21,250,FALSE,250
32,Fruits & Vegetables,Papaya,54,16,3,45,58,FALSE,1
33,Fruits & Vegetables,Apple Shimla,142,16,3,119,232,FALSE,4
34,Fruits & Vegetables,Bitter Gourd,18,16,3,15,250,FALSE,250
35,Fruits & Vegetables,Brinjal Small,18,16,3,15,250,FALSE,250
36,Fruits & Vegetables,Sweet Corn,36,16,3,30,116,FALSE,2
37,Fruits & Vegetables,Spring Onion ,18,16,3,15,250,FALSE,250
38,Fruits & Vegetables,Bell Peppers Red & Yellow ,118,16,3,99,116,FALSE,2
39,Fruits & Vegetables,Pomegranate ,106,16,3,89,116,FALSE,2
40,Fruits & Vegetables,Sweet Lime,30,16,3,25,116,FALSE,2
41,Fruits & Vegetables,Baby Potato,19,15,3,16,500,FALSE,500
42,Fruits & Vegetables,Coccinia,32,15,3,27,250,FALSE,250
43,Fruits & Vegetables,Guava,54,16,3,45,232,FALSE,4
44,Fruits & Vegetables,Apple Washington,177,15,3,149,232,FALSE,4
45,Fruits & Vegetables,Amla,32,15,3,27,250,FALSE,250
46,Fruits & Vegetables,Beans Cluster,30,16,3,25,250,FALSE,250
47,Fruits & Vegetables,Apple Royal Gala,189,15,3,159,232,FALSE,4
48,Fruits & Vegetables,Chilli Bhaji,30,16,3,25,250,FALSE,250
49,Fruits & Vegetables,Lettuce Green,23,17,3,19,100,FALSE,100
50,Fruits & Vegetables,Baby Corn Peeled,35,17,3,29,250,FALSE,250
51,Fruits & Vegetables,Mixed Sprouts,35,17,3,29,200,FALSE,200
52,Fruits & Vegetables,Zucchini Green,35,17,3,29,250,FALSE,250
53,Fruits & Vegetables,Beans Broad,42,16,3,35,250,FALSE,250
54,Fruits & Vegetables,Raw Banana,20,15,6,17,500,FALSE,500
55,Fruits & Vegetables,Colocasia ,29,17,6,24,500,FALSE,500
56,Fruits & Vegetables,Tomato Cherry ,35,17,3,29,200,FALSE,200
57,Fruits & Vegetables,Sweet Potato ,38,15,3,32,500,FALSE,500
58,Fruits & Vegetables,Pineapple Slice,89,15,3,75,200,FALSE,200
59,Fruits & Vegetables,Orange,54,16,3,45,116,FALSE,2
60,Fruits & Vegetables,Dragon Fruit Imported,70,15,3,59,58,FALSE,1
61,Fruits & Vegetables,Zucchini Yellow,42,16,3,35,250,FALSE,500
62,Fruits & Vegetables,Apple Kinnaur,142,16,6,119,232,FALSE,4
63,Fruits & Vegetables,Pineapple,94,15,3,79,58,FALSE,1
64,Fruits & Vegetables,Basil,20,15,3,17,100,FALSE,100
65,Fruits & Vegetables,Parsley,17,17,3,14,100,FALSE,100
66,Fruits & Vegetables,Ridge Gourd,30,16,3,25,500,FALSE,500
67,Fruits & Vegetables,Papaya Cut,46,15,3,39,200,FALSE,200
68,Fruits & Vegetables,Pomegranate Peeled,58,15,2,49,100,FALSE,100
69,Fruits & Vegetables,Pear Green Imported,82,15,3,69,116,FALSE,2
70,Fruits & Vegetables,Guava Thai,70,15,3,59,116,FALSE,2
71,Fruits & Vegetables,Lettuce Red,20,15,3,17,100,FALSE,100
72,Fruits & Vegetables,Mango Raw,60,16,3,50,500,FALSE,500
73,Fruits & Vegetables,Biryani /Pulav Mix,58,15,3,49,250,FALSE,250
74,Fruits & Vegetables,Banana Nendran,54,16,6,45,500,FALSE,500
75,Fruits & Vegetables,Pumpkin Cut,30,16,3,25,200,FALSE,200
76,Fruits & Vegetables,Banana Red,54,16,6,45,500,FALSE,500
77,Fruits & Vegetables,Radish White,23,17,6,19,500,FALSE,500
78,Fruits & Vegetables,Avocado Indian Premium,177,15,3,149,58,FALSE,1
79,Fruits & Vegetables,Banana Leaf,12,16,2,10,58,FALSE,1
80,Fruits & Vegetables,Sponge Gourd,25,16,2,21,300,FALSE,300
81,Fruits & Vegetables,Zama Organics Carrot,20,15,3,17,250,FALSE,250
82,Fruits & Vegetables,Safal Frozen - Mixed Vegetables,110,4,2,105,1000,FALSE,1
83,Fruits & Vegetables,Zama Organics Sweet Potato,37,16,3,31,250,FALSE,250
84,Fruits & Vegetables,Beetroot,16,18,3,13,500,FALSE,500
85,Fruits & Vegetables,Capsicum,26,19,3,21,500,FALSE,500
86,Fruits & Vegetables,Carrot,19,21,3,15,500,FALSE,500
87,Fruits & Vegetables,Garlic,17,23,3,13,200,FALSE,200
88,Fruits & Vegetables,Carrot,13,15,0,11,250,TRUE,200
89,Fruits & Vegetables,Beetroot,11,18,0,9,250,TRUE,250
90,Fruits & Vegetables,Moong Sprouts,35,17,0,29,200,TRUE,200
91,Fruits & Vegetables,Safal Frozen Mixed Vegetables,60,5,0,57,500,TRUE,500
92,Fruits & Vegetables,Safal Frozen Corn,41,4,0,39,200,TRUE,200
93,Fruits & Vegetables,Safal Frozen - Sweet Corn,160,5,0,152,1000,TRUE,1
94,Cooking Essentials,Maggi 2 Minute Masala Noodles,12,0,6,12,70,FALSE,70
95,Cooking Essentials,iD Idli & Dosa Batter ,80,15,6,68,1000,FALSE,1
96,Cooking Essentials,Tata Salt,24,0,6,24,1000,FALSE,1
97,Cooking Essentials,Arden Eggs White,97,0,4,97,696,FALSE,12
98,Cooking Essentials,Arden Eggs White,65,15,4,55,348,FALSE,6
99,Cooking Essentials,Fortune Sunlite Refined Sunflower (Pouch),230,4,6,219,1000,FALSE,1
100,Cooking Essentials,Aashirvaad Superior MP Atta,250,2,6,245,5000,FALSE,5
101,Cooking Essentials,Amul Pure Ghee (Pouch),255,2,6,249,500,FALSE,500
102,Cooking Essentials,Arden Eggs Brown,85,7,4,79,348,FALSE,6
103,Cooking Essentials,Tata Salt Lite,40,10,6,36,1000,FALSE,1
104,Cooking Essentials,Saffola Gold Oil (Pouch),215,0,6,215,1000,FALSE,1
105,Cooking Essentials,Fortune Sunlite Refined Sunflower (Jar),925,0,6,925,5000,FALSE,5
106,Cooking Essentials,Fortune Rice Bran (Pouch),225,11,6,199,1000,FALSE,1
107,Cooking Essentials,Saffola Active Oil,210,0,6,210,1000,FALSE,1
108,Cooking Essentials,Amul Pure Ghee (Pouch),505,1,2,499,1000,FALSE,1
109,Cooking Essentials,Aashirvaad Atta,460,13,6,399,10000,FALSE,10
110,Cooking Essentials,Popular Essentials Toor Dal (Un-Polished),160,6,4,149,1000,FALSE,1
111,Cooking Essentials,Amul Ghee (Tin),520,2,6,509,1000,FALSE,1
112,Cooking Essentials,Amul Fresh Cream,197,3,3,191,1000,FALSE,1
113,Cooking Essentials,Popular Essentials Pure Jaggery,50,2,6,49,450,FALSE,450
114,Cooking Essentials,Aashirvaad Multigrain Atta,64,3,2,62,1000,FALSE,1
115,Cooking Essentials,Fortune Soyabean Oil,1005,0,6,999,5000,FALSE,5
116,Cooking Essentials,Popular Essentials Sunflower Seeds,25,0,6,25,50,FALSE,50
117,Cooking Essentials,Tata Sampann kabuli chana,185,1,4,183,1000,FALSE,500
118,Cooking Essentials,Dhara Groundnut Oil (Pouch),230,11,6,203,1000,FALSE,1
119,Cooking Essentials,Dhara Health Refined Sun Flower Oil Jar,1200,18,6,984,5000,FALSE,5
120,Cooking Essentials,24 Mantra Organic Jaggery Powder,80,15,6,68,500,FALSE,500
121,Cooking Essentials,Tata Sampann High Protien Kabuli Chana,94,0,1,94,500,FALSE,500
122,Cooking Essentials,Dhara Kachi Ghani Mustard Oil Jar,1250,8,6,1143,5000,FALSE,5
123,Cooking Essentials,D'lecta Dairy Cream,54,5,6,51,200,FALSE,200
124,Cooking Essentials,Ching's Secret Instant Hot Garlic Noodles,15,0,3,15,60,FALSE,60
125,Cooking Essentials,Dabur Ginger Garlic Paste,25,8,3,23,100,FALSE,100
126,Cooking Essentials,Ching's Secret Instant Schezwan Noodles,15,0,6,15,60,FALSE,60
127,Cooking Essentials,Gowardhan Ghee/Tuppa Jar,315,1,6,309,500,FALSE,500
128,Cooking Essentials,Tata Sampann Unpolished Moong Dal ,92,4,4,88,500,FALSE,500
129,Cooking Essentials,Aashirvaad Select Atta,64,0,6,64,1000,FALSE,1
130,Cooking Essentials,Popular Essentials Misri Dana (Diamond Sugar) ,15,0,4,15,100,FALSE,100
131,Cooking Essentials,Gowardhan Ghee Jar,598,3,6,579,1000,FALSE,1
132,Cooking Essentials,Top Ramen  Noodles Curry Veg Pouch,20,0,1,20,70,FALSE,70
133,Cooking Essentials,Popular Essentials Refined Sugar,60,0,6,60,1000,FALSE,1
134,Cooking Essentials,Fortune Kachi Ghani Mustard Oil Bottle,216,7,6,199,1000,FALSE,1
135,Cooking Essentials,Saffola Veggie Twist Masala Oats,15,0,6,15,38,FALSE,38
136,Cooking Essentials,Satyam Puffed Rice Kurmura (R),23,0,6,23,200,FALSE,200
137,Cooking Essentials,Quaker Oats,79,0,2,79,400,FALSE,400
138,Cooking Essentials,Aashirvaad Select Sharbati Atta,315,10,6,283,5000,FALSE,5
139,Cooking Essentials,Popular Essentials Refined Sugar,295,10,6,265,5000,FALSE,5
140,Cooking Essentials,Gowardhan Cow Ghee Pouch,579,10,6,521,1000,FALSE,1
141,Cooking Essentials,Dhara Nourish Refined Sunflower Oil Pouch,210,5,6,199,1000,FALSE,1
142,Cooking Essentials,Parachute Oil ,40,7,3,37,100,FALSE,100
143,Cooking Essentials,Popular Essentials Plain Puffed Rice (Murmura/Muri),18,0,6,18,100,FALSE,100
144,Cooking Essentials,Amul Mithai Mate Condensed Sweetened Milk,56,3,4,54,200,FALSE,200
145,Cooking Essentials,Saffola Gold (Jar),1240,0,6,1240,5000,FALSE,5
146,Cooking Essentials,McCain New Mini Samosa with Cheese Pizza Style Filling,120,1,3,118,240,FALSE,240
147,Cooking Essentials,Fortune Rice Bran Health Oil (Jar),1050,1,6,1039,5000,FALSE,5
148,Cooking Essentials,Arden Desi Eggs,110,13,4,95,348,FALSE,6
149,Cooking Essentials,Fortune Rozana Basmati Rice,585,21,6,462,5000,FALSE,5
150,Cooking Essentials,Fortune Biriyani Special Basmati Rice,175,0,5,175,1000,FALSE,1
151,Cooking Essentials,Everest Garam Masala,78,7,5,72,100,FALSE,100
152,Cooking Essentials,Popular Essentials Pumpkin Seeds,90,16,6,75,100,FALSE,100
153,Cooking Essentials,Fortune Soya Health Refined Soybean Oil,210,1,2,206,1000,FALSE,1
154,Cooking Essentials,Gowardhan Pure Ghee Pouch,295,4,6,281,500,FALSE,500
155,Cooking Essentials,Popular Essentials Jeera/Cumin Seeds,40,5,3,38,100,FALSE,100
156,Cooking Essentials,Weikfield Baking Soda,30,3,6,29,100,FALSE,100
157,Cooking Essentials,Everest Pav Bhaji Masala,37,10,4,33,50,FALSE,50
158,Cooking Essentials,Tata Sampann Unpolished Chana Dal,95,6,2,89,1000,FALSE,500
159,Cooking Essentials,Amul Mithai Mate EOE Tin,112,2,6,109,400,FALSE,400
160,Cooking Essentials,Pillsbury Chakki Fresh Atta,450,16,6,375,10000,FALSE,10
161,Cooking Essentials,Everest Chicken Masala,39,2,1,38,50,FALSE,50
162,Cooking Essentials,Dhara Life Refined Ricebran Oil (Pouch),205,7,6,190,1000,FALSE,1
163,Cooking Essentials,Borges Extra Virgin Olive Oil,400,25,1,299,250,FALSE,250
164,Cooking Essentials,Everest Shahi Biryani Masala,70,14,6,60,50,FALSE,50
165,Cooking Essentials,Popular Essentials Californian Almond,350,28,6,251,250,FALSE,250
166,Cooking Essentials,Popular Essentials Ajwain Whole,25,0,4,25,50,FALSE,50
167,Cooking Essentials,Everest Tikhalal Chilli Powder,235,9,6,212,500,FALSE,500
168,Cooking Essentials,Popular Essentials Kabuli Chana Regular,85,9,6,77,500,FALSE,500
169,Cooking Essentials,Pillsbury Chakki Fresh Atta,52,0,4,52,1000,FALSE,1
170,Cooking Essentials,Popular Essentials Saunf/Fennel Seeds,45,2,6,44,100,FALSE,100
171,Cooking Essentials,Popular Essentials Bansi Sooji,35,2,3,34,500,FALSE,500
172,Cooking Essentials,Happilo Premium International Queen Kalmi Dates,245,29,6,172,200,FALSE,200
173,Cooking Essentials,Tata Sampann Unpolished Urad Whole,101,6,4,94,500,FALSE,500
174,Cooking Essentials,Popular Essentials Cashew Split,325,12,6,283,250,FALSE,250
175,Cooking Essentials,Popular Essentials Chana Dal (Un-Polished),60,10,6,54,500,FALSE,500
176,Cooking Essentials,Tata Sampann Unpolished Rajma (Chitra),134,6,6,125,500,FALSE,500
177,Cooking Essentials,Everest Garam Masala,42,2,2,41,50,FALSE,50
178,Cooking Essentials,Everest Kitchen King Masala,70,14,2,60,100,FALSE,100
179,Cooking Essentials,24 Mantra Organic Cumin,70,7,2,65,100,FALSE,100
180,Cooking Essentials,Nestle Milkmaid,132,3,6,128,400,FALSE,400
181,Cooking Essentials,Popular Essentials Sona Masouri Steam Rice,65,9,6,59,1000,FALSE,1
182,Cooking Essentials,24 Mantra Organic Tur Dal,260,20,6,208,1000,FALSE,1
183,Cooking Essentials,Gits Gulab Jamun Instant Dessert Mix,99,10,6,89,200,FALSE,200
184,Cooking Essentials,Popular Essentials Black Masoor Whole (Un-Polished),65,10,3,58,500,FALSE,500
185,Cooking Essentials,24 Mantra Organic Peanuts,135,7,1,125,500,FALSE,500
186,Cooking Essentials,Everest Hingraj Powder,90,10,2,81,50,FALSE,50
187,Cooking Essentials,Everest Black Pepper Powder,135,14,6,115,100,FALSE,100
188,Cooking Essentials,Tata Sampann Masoor Dal Stand,150,10,4,134,1000,FALSE,1
189,Cooking Essentials,24 Mantra Organic Besan,95,7,5,88,500,FALSE,500
190,Cooking Essentials,Quaker Oats,199,7,6,184,1000,FALSE,1
191,Cooking Essentials,Saffola Gold Refined Cooking Oil (Jar),485,7,6,449,2000,FALSE,2
192,Cooking Essentials,Nestle Everyday Dairy Whitener,210,0,4,210,400,FALSE,400
193,Cooking Essentials,24 Mantra Organic Red Poha,75,8,1,69,500,FALSE,500
194,Cooking Essentials,Everest Powder - Tea Masala,98,9,5,89,100,FALSE,100
